sigma_detuning_rad_per_us,reference_loss,selected_loss,exact_loss_difference,predicted_loss_difference,relative_improvement,prediction_relative_error,spearman_rho,kendall_tau_b,pairwise_concordance,comparable_pairs,top_k,top_k_overlap,selected_actual_rank,number_ranked_candidates
0.03,2.450445148943949e-06,1.946826935078171e-06,-5.036182138657778e-07,-5.036930497692715e-07,0.20552111279977786,0.00014859649916010122,1.0,0.9999999999999999,1.0,3160,16,1.0,1,80
0.06,9.802790121644205e-06,7.789217022580761e-06,-2.013573099063444e-06,-2.014772199077086e-06,0.20540816176585763,0.0005955085584922791,1.0,0.9999999999999999,1.0,3160,16,1.0,1,80
0.12,3.922725969412985e-05,3.118734133493625e-05,-8.039918359193598e-06,-8.059088796308345e-06,0.20495743067152683,0.002384406937767646,0.9999062353492734,0.9981012658227848,0.9990506329113924,3160,16,1.0,1,80
0.24,0.00015716324544241686,0.00012523215755265145,-3.1931087889765415e-05,-3.223635518523338e-05,0.20317147180232203,0.009560190887383082,0.9998359118612286,0.9962025316455695,0.9981012658227848,3160,16,1.0,1,80
