gamma_per_us,reference_loss,selected_loss,exact_loss_difference,predicted_loss_difference,relative_improvement,prediction_relative_error,spearman_rho,kendall_tau_b,pairwise_concordance,comparable_pairs,top_k,top_k_overlap,selected_actual_rank,number_ranked_candidates
0.00375,0.0007907368870276876,0.0007869118623075044,-3.825024720183201e-06,-3.829938781047225e-06,0.004837291370788508,0.001284713491678704,1.0,1.0,1.0,1770,12,1.0,1,60
0.0075,0.0015804773574156217,0.0015728371226588767,-7.640234756745024e-06,-7.65987756209445e-06,0.004834131106590636,0.002570968821617058,1.0,1.0,1.0,1770,12,1.0,1,60
0.015,0.0031569744975490366,0.0031417332063125025,-1.524129123653406e-05,-1.53197551241889e-05,0.004827815761060743,0.005148112875552051,1.0,1.0,1.0,1770,12,1.0,1,60
0.03,0.00629807160649154,0.006267745095571375,-3.0326510920164473e-05,-3.06395102483778e-05,0.004815205798693424,0.010320980512308434,1.0,1.0,1.0,1770,12,1.0,1,60
